"50","M58","M58 ТОШ. ОКТЕПА","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"1"
"51","M59","M59 ТОШ. ЭКОПАРК","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"1"
"52","M60","M60 КАШ. ШАХРИСАБЗ","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"7"
"53","M61","M61 ТОШ. ТАШСЕЛЬМАШ","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"1"
"54","M62","M62 КАШ. КАРШИ 2","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"7"
"55","M63","M63 ТОШ. РИВЬЕРА","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"1"
"56","M64","M64 ФАР. ОЛТИАРИК","2020-11-22 13:33:31","2021-04-19 05:18:05",NULL,"3"
"57","М65","М65 ТОШ. АНХОР ЛОКОМОТИВ","2020-11-22 13:33:31","2021-04-19 05:26:46",NULL,"1"
"58","М66","М66 ТОШ. МАСТЕР БЕКЕРИ","2020-11-22 13:33:31","2021-04-19 05:27:05",NULL,"1"
"59","М67","М67 ТОШ. ЯНГИ ХАЕТ","2020-11-22 13:33:31","2021-04-19 05:27:21",NULL,"1"
"60","М68","М68 ТОШ. ПАРК ФУРКАТ","2020-11-22 13:33:31","2021-04-19 05:27:40",NULL,"1"
"61","М69","М69 ТОШ. PARISEN","2020-11-22 13:33:31","2021-04-19 05:27:52",NULL,"1"
"62","М70","М70 ТОШ. КУЙЛЮК 4","2020-11-22 13:33:31","2021-04-19 05:28:06",NULL,"1"
"63","М71","М71 ТОШ. УЧХОЗ","2020-11-22 13:33:31","2021-04-19 05:29:15",NULL,"1"
"64","М72","М72 ТОШ. ЧИЛОНЗОР 23","2020-11-22 13:33:31","2021-04-19 05:29:23",NULL,"1"
"65","М73","М73 ТОШ. СЕРГЕЛИ GH","2020-11-22 13:33:31","2021-04-19 05:29:33",NULL,"1"
"66","М74","М74 ТОШ. GMPT завод","2020-11-22 13:33:31","2021-04-19 05:30:13",NULL,"1"
"67","М75","М75 ТОШ. СЕРГЕЛИ 3","2020-11-22 13:33:31","2021-04-19 05:30:21",NULL,"1"
"68","М76","М76 ТОШ. ПАРКЕНТСКИЙ","2020-11-22 13:33:31","2021-04-19 05:30:31",NULL,"1"
"69","М77","М77 ТОШ.ЧИЛАНЗАР 16","2020-11-22 13:33:31","2021-04-19 05:30:53",NULL,"1"
"70","М78","М78 ТОШ.АБАЙ","2020-11-22 13:33:31","2021-04-19 05:31:02",NULL,"1"
"71","М79","М79 ТОШ.ЮГНАКИ","2020-11-22 13:33:31","2021-04-19 05:31:13",NULL,"1"
"72","М80","М80 ТОШ.Ц1","2020-11-22 13:33:31","2021-04-19 05:31:22",NULL,"1"
"73","М81","М81 ТОШ. Ракят","2020-11-22 13:33:31","2021-04-19 05:31:31",NULL,"1"
"74","М82","М82 ТОШ. ЧАЙКА (ЭРАМ)","2020-11-22 13:33:31","2021-04-19 05:31:42",NULL,"1"
"75","M83","M83 ТОШ. Олимпия","2021-01-22 10:47:08","2021-04-19 05:18:05",NULL,"1"
"76","M84","M84 БУХОРО Minor","2021-01-22 10:47:25","2021-02-02 07:54:15","2021-02-02 07:54:15","5"
"77","M85","M85 ТОШ. Корасув","2021-01-22 10:47:43","2021-04-19 05:18:05",NULL,"1"
"78","M86","M86 ТОШ. Ганга","2021-01-22 10:48:01","2021-04-19 05:18:05",NULL,"1"
"79","M87","M87 ТОШ. Фархадский","2021-01-22 10:48:13","2021-04-19 05:18:05",NULL,"1"
"80","M88","M88 ТОШ. Уста Ширин","2021-01-22 10:48:33","2021-04-19 05:18:05",NULL,"1"
"81","M89","M89 ТОШ. Мая Чилинзар","2021-01-22 10:48:43","2021-04-19 05:18:05",NULL,"1"
