"id","key","title","created_at","updated_at","is_deleted","deleted_at"
"1","back","⬅ Назад","2022-10-26 05:13:07.640455","2022-10-26 05:13:07.640482","0",NULL
"2","start_app","Оформить заявку","2022-10-26 05:13:07.641277","2022-10-26 05:13:07.641289","0",NULL
"3","share_contact","📞 Поделиться контактом","2022-10-26 05:13:07.642646","2022-10-26 05:13:07.642658","0",NULL
"4","upload_photo","📎 Загрузите фото","2022-10-26 05:13:07.643243","2022-10-26 05:13:07.643255","0",NULL
"5","cancel_app","❌ Отменить заявку","2022-10-26 05:13:07.643750","2022-10-26 05:13:07.643760","0",NULL
"6","confirm_app","✅ Подтвердить заявку","2022-10-26 05:13:07.644213","2022-10-26 05:13:07.644223","0",NULL
"7","no_violation","✅ Нет нарушений","2022-11-29 06:11:46.493734","2022-11-29 06:13:49.343878","0",NULL
